ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-26 17:01:54.851170,0.17383334,2.2924428,0.26,2.2940802574157715,23.458682288000002
2,2020-05-26 17:02:18.489663,0.22358334,2.2781148,0.04,2.2807374000549316,23.642940763999995
3,2020-05-26 17:02:42.234694,0.22516666,2.2389123,0.24,2.190997838973999,23.836935329
4,2020-05-26 17:03:06.171329,0.36275,2.2513285,0.2,2.2669620513916016,23.843652186
5,2020-05-26 17:03:30.112933,0.38483334,2.1817167,0.5,1.9573211669921875,25.678947207999983
6,2020-05-26 17:03:55.892195,0.46666667,2.1536067,0.48,2.2367329597473145,26.009243415999975
7,2020-05-26 17:04:22.013048,0.4545,2.0832238,0.48,1.9018696546554565,24.00541208300001
8,2020-05-26 17:04:46.127593,0.55516666,1.6284586,0.6,1.4682811498641968,24.007789599999995
9,2020-05-26 17:05:10.246494,0.6688333,1.167459,0.72,0.8378559947013855,24.210236379999998
10,2020-05-26 17:05:34.564293,0.7414167,0.8895376,0.66,0.8022152781486511,24.170426942999995
11,2020-05-26 17:05:58.843149,0.82283336,0.63202363,0.74,0.8351176381111145,24.881178872999982
12,2020-05-26 17:06:23.825131,0.84316665,0.56979734,0.96,0.31357479095458984,24.300124038000035
13,2020-05-26 17:06:48.224872,0.85975,0.50935215,0.96,0.17171840369701385,24.253876707000018
14,2020-05-26 17:07:12.572409,0.89033335,0.38110843,0.9,0.4703448414802551,24.07279519499997
15,2020-05-26 17:07:36.739614,0.894,0.36745027,1.0,0.14229993522167206,26.990649726000015
