ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-01 13:45:03.546409,0.14483333,2.2906537,0.14,2.2755799293518066,20.400786779999997
2,2020-06-01 13:45:24.123186,0.14141667,2.2642565,0.12,2.229836940765381,20.25215361
3,2020-06-01 13:45:44.476464,0.15433334,2.2239091,0.54,2.1585092544555664,21.02628378699999
4,2020-06-01 13:46:05.603757,0.33341667,2.106582,0.5,1.9554791450500488,20.67926862799999
5,2020-06-01 13:46:26.385429,0.39658332,2.1493337,0.46,2.1069579124450684,20.807315877999997
6,2020-06-01 13:46:47.292613,0.5244167,1.7429029,0.8,0.9915286302566528,20.500622034999992
7,2020-06-01 13:47:07.895042,0.5179167,1.7610383,0.58,1.6054288148880005,20.459802997999986
8,2020-06-01 13:47:28.455466,0.66875,1.1120938,0.66,0.8708189129829407,20.44704220700001
9,2020-06-01 13:47:49.001411,0.73466665,0.9523239,0.72,0.849100649356842,20.643613609
10,2020-06-01 13:48:09.748227,0.79158336,0.74690586,0.9,0.3919427990913391,20.758488147999998
11,2020-06-01 13:48:30.607829,0.8336667,0.5926236,0.94,0.323411762714386,20.556245956999987
12,2020-06-01 13:48:51.264420,0.85366666,0.51856655,0.86,0.37388622760772705,20.469940858
