ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-04-15 14:44:46.743440,0.48833334,0.83812124,0.09,2.4019123315811157,129.0149246598594
2,2020-04-15 14:46:55.978213,0.49433333,0.8332019,0.09,2.9587615728378296,120.43396856682375
3,2020-04-15 14:48:56.510998,0.504,0.82488984,0.06,2.683190441131592,112.02819193387404
4,2020-04-15 14:50:48.675329,0.59433335,0.6689638,0.12,2.8113566875457763,109.99033587612212
5,2020-04-15 14:52:38.759083,0.49333334,0.8103933,0.08,2.966316318511963,107.78977638017386
6,2020-04-15 14:54:26.680450,0.69666666,0.5015662,0.12,4.00089647769928,108.74646824877709
7,2020-04-15 14:56:15.558955,0.50656664,0.9867607,0.09,2.792427635192871,105.60023740911856
8,2020-04-15 14:58:01.288522,0.60933334,0.6483696,0.08,2.8878578901290894,106.84104745881632
9,2020-04-15 14:59:48.220125,0.509,1.0033023,0.1,2.8121901035308836,105.68687486601993
10,2020-04-15 15:01:34.031461,0.487,0.82559663,0.05,2.7846556425094606,107.46183636412024
11,2020-04-15 15:03:21.584023,0.5294333,1.1753503,0.16,2.2861552476882934,105.30283872783184
12,2020-04-15 15:05:07.012206,0.475,0.83233917,0.1,2.7411813020706175,108.48016439098865
13,2020-04-15 15:06:55.610385,0.606,0.65894186,0.1,3.5325620651245115,108.97052726661786
14,2020-04-15 15:08:44.708367,0.69233334,0.5106888,0.06,2.570914363861084,106.74206052394584
15,2020-04-15 15:10:31.535699,0.50233334,0.8179687,0.07,2.6220021486282348,106.39682847168297
16,2020-04-15 15:12:18.051926,0.51066667,0.81155515,0.14,2.6040826082229613,107.7935469308868
17,2020-04-15 15:14:05.936623,0.5133333,0.81366354,0.13,2.963830852508545,106.34175057709217
18,2020-04-15 15:15:52.404661,0.5962333,0.8522875,0.1,2.8774515867233275,105.70930638583377
19,2020-04-15 15:17:38.204233,0.5099,1.0024511,0.08,2.53019700050354,105.96821094490588
20,2020-04-15 15:19:24.294603,0.49633333,0.81963974,0.16,2.6430795907974245,108.48970200121403
21,2020-04-15 15:21:12.875407,0.501,0.8157837,0.13,2.5631651639938355,105.28498494811356
22,2020-04-15 15:22:58.286292,0.505,0.81596446,0.1,3.0034534454345705,107.71397275710478
23,2020-04-15 15:24:46.092054,0.5056667,0.82513267,0.06,2.9521100997924803,104.15488000912592
