ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-04-27 09:40:34.145131,0.35503334,1.8254312,0.16,2.303757095336914,16.32607101323083
2,2020-04-27 09:40:50.615841,0.43313333,1.6069567,0.06,2.316388154029846,15.533818671945482
3,2020-04-27 09:41:06.229800,0.6953667,0.8795644,0.83,0.8651328802108764,15.643551867920905
4,2020-04-27 09:41:21.949103,0.9441,0.18826346,0.92,0.24494979043956847,15.495388258248568
5,2020-04-27 09:41:37.521180,0.9785,0.07452038,0.92,0.22610842510584916,15.768080804031342
6,2020-04-27 09:41:53.365201,0.9831,0.060658798,0.98,0.05395088967379706,15.45895321900025
7,2020-04-27 09:42:08.901413,0.9851,0.051081635,0.95,0.2729600174137886,15.470433685928583
8,2020-04-27 09:42:24.449300,0.9869,0.045983613,0.95,0.21977270908537322,15.768943123985082
9,2020-04-27 09:42:40.306661,0.9898,0.036931843,0.98,0.10666963245457736,15.803300726227462
10,2020-04-27 09:42:56.195547,0.98936665,0.03809353,0.97,0.16475963626871817,15.718231931328773
11,2020-04-27 09:43:11.990287,0.99036664,0.03458662,0.94,0.1872182430975954,15.32353735063225
12,2020-04-27 09:43:27.389669,0.9891667,0.038849223,0.95,0.18380551589798416,15.421721919905394
13,2020-04-27 09:43:42.892642,0.9905,0.035004936,0.98,0.05469767050235532,15.241553817875683
14,2020-04-27 09:43:58.210885,0.99403334,0.022466257,0.99,0.030490875551549834,15.729942445177585
