ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-04-29 13:43:54.345450,0.99733335,0.021526441,0.1,3.013623857498169,9.462204444222152
2,2020-04-29 13:44:04.230054,0.99766666,0.009173128,0.1,3.871388792991638,9.291603570804
3,2020-04-29 13:44:13.599562,0.99733335,0.006639246,0.18,4.890559720993042,9.401618813164532
4,2020-04-29 13:44:23.084448,0.99733335,0.025842823,0.06,2.7564226388931274,9.246729221194983
5,2020-04-29 13:44:32.408191,0.99733335,0.0210797,0.02,3.0420222520828246,9.42926735803485
6,2020-04-29 13:44:41.913418,0.99666667,0.012951572,0.06,4.737782573699951,9.315856804139912
7,2020-04-29 13:44:51.310764,0.99666667,0.028952485,0.12,2.5934396743774415,9.149877977091819
8,2020-04-29 13:45:00.544211,0.99733335,0.012888033,0.07,2.906312894821167,9.144319412764162
9,2020-04-29 13:45:09.768166,0.99733335,0.007827394,0.1,3.6848708152770997,9.115191577933729
10,2020-04-29 13:45:18.968724,0.99666667,0.01779932,0.08,5.37387261390686,9.07416459498927
11,2020-04-29 13:45:28.123867,0.99733335,0.02552122,0.11,2.6627182006835937,9.425673096906394
12,2020-04-29 13:45:37.638129,0.998,0.009647813,0.12,3.550102782249451,9.478050522040576
13,2020-04-29 13:45:47.207026,0.99666667,0.014795561,0.08,8.010499095916748,9.133945495821536
14,2020-04-29 13:45:56.421187,0.99666667,0.037410773,0.08,5.93520679473877,9.212301874067634
15,2020-04-29 13:46:05.726188,0.99733335,0.01815951,0.09,5.357123851776123,9.134233925957233
16,2020-04-29 13:46:14.944314,0.99666667,0.024651978,0.15,3.4747477531433106,9.309940490871668
17,2020-04-29 13:46:24.333403,0.99666667,0.017233288,0.06,4.235350227355957,9.600290903355926
18,2020-04-29 13:46:34.010370,0.99666667,0.017536076,0.13,4.019439458847046,8.957799551077187
19,2020-04-29 13:46:43.046052,0.99666667,0.02106698,0.09,3.1388147354125975,9.374957797117531
