ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-04-29 14:16:31.077061,0.99666667,0.023411188,0.07,3.7962746143341066,14.735164404846728
2,2020-04-29 14:16:46.188113,0.997,0.015710253,0.05,3.576459503173828,14.519280331674963
3,2020-04-29 14:17:00.788735,0.99666667,0.02432484,0.06,3.449464297294617,14.331661752890795
4,2020-04-29 14:17:15.196084,0.997,0.016506482,0.15,4.033761310577392,14.233975506853312
5,2020-04-29 14:17:29.499736,0.99666667,0.01660038,0.08,3.2678616285324096,14.380734000820667
6,2020-04-29 14:17:43.948548,0.997,0.019653996,0.1,5.040187811851501,14.930629982147366
7,2020-04-29 14:17:58.949436,0.99733335,0.020217404,0.07,2.894813299179077,14.433706908021122
8,2020-04-29 14:18:13.455957,0.997,0.01169549,0.13,2.4614720821380613,14.370521117933095
9,2020-04-29 14:18:27.895589,0.99666667,0.009402762,0.07,2.7896226167678835,14.842871873173863
10,2020-04-29 14:18:42.823034,0.99666667,0.010982654,0.13,2.7679577112197875,14.477690388914198
11,2020-04-29 14:18:57.370613,0.99666667,0.010240062,0.11,4.616428256034851,13.9570886278525
12,2020-04-29 14:19:11.400312,0.997,0.018122083,0.1,3.14526252746582,14.657951870001853
13,2020-04-29 14:19:26.131067,0.99666667,0.011767992,0.09,4.194933557510376,14.648961258120835
14,2020-04-29 14:19:40.851100,0.997,0.013662228,0.07,3.6577487230300902,14.461406748741865
15,2020-04-29 14:19:55.382418,0.99666667,0.014500859,0.13,3.7745679140090944,14.391049562953413
16,2020-04-29 14:20:09.843058,0.997,0.015722765,0.09,6.024360227584839,14.42740318318829
17,2020-04-29 14:20:24.343557,0.99733335,0.020118998,0.12,2.870987319946289,14.562787935137749
18,2020-04-29 14:20:38.984261,0.997,0.009915523,0.06,2.8013664722442626,14.315856713801622
19,2020-04-29 14:20:53.374495,0.99666667,0.01069174,0.13,2.6917809724807737,14.548237453214824
20,2020-04-29 14:21:07.994927,0.997,0.011757687,0.06,2.8843841791152953,14.516507602762431
21,2020-04-29 14:21:22.583503,0.99666667,0.010010235,0.2,3.651235342025757,14.577749578282237
22,2020-04-29 14:21:37.235539,0.997,0.015618927,0.09,3.3466406583786013,14.163959381636232
23,2020-04-29 14:21:51.469803,0.99666667,0.011421403,0.11,4.036623954772949,14.285484744701535
24,2020-04-29 14:22:05.822595,0.997,0.013547265,0.1,3.4132691860198974,14.238397155888379
25,2020-04-29 14:22:20.129630,0.99666667,0.0142225465,0.12,3.896565055847168,14.484944169409573
26,2020-04-29 14:22:34.689428,0.997,0.01565075,0.08,6.0557252883911135,14.201192867010832
27,2020-04-29 14:22:48.963923,0.99733335,0.020165637,0.1,2.840715432167053,14.335584030952305
28,2020-04-29 14:23:03.367653,0.997,0.009744365,0.09,2.7499638319015505,14.561916146893054
29,2020-04-29 14:23:17.998996,0.99666667,0.010719333,0.07,2.8363773822784424,14.463730202056468
30,2020-04-29 14:23:32.539149,0.997,0.011753522,0.1,2.8570196628570557,14.81224745605141
31,2020-04-29 14:23:47.429108,0.99666667,0.010000182,0.11,4.170833706855774,14.440320180729032
32,2020-04-29 14:24:01.946603,0.997,0.01517758,0.07,3.0302261114120483,14.48924419330433
33,2020-04-29 14:24:16.507858,0.99666667,0.011345738,0.11,3.952080488204956,14.341698172967881
34,2020-04-29 14:24:30.921120,0.997,0.01347315,0.1,3.3370359420776365,14.366787559818476
35,2020-04-29 14:24:45.358949,0.99666667,0.014033848,0.09,3.9691499710083007,14.5126513405703
36,2020-04-29 14:24:59.944178,0.997,0.01564437,0.08,5.9872870445251465,14.006634403951466
37,2020-04-29 14:25:14.020617,0.99733335,0.020142589,0.08,2.7880861520767213,14.563523364719003
38,2020-04-29 14:25:28.658988,0.997,0.009635904,0.07,2.8477184057235716,14.441049291286618
39,2020-04-29 14:25:43.171761,0.99666667,0.010701969,0.1,2.91276330947876,14.28240652102977
40,2020-04-29 14:25:57.530287,0.997,0.011777705,0.11,2.7692438840866087,14.456603824160993
41,2020-04-29 14:26:12.056493,0.99666667,0.009934686,0.14,3.857529067993164,14.119798618834466
42,2020-04-29 14:26:26.246271,0.997,0.014724606,0.08,3.1516847372055055,14.707249209284782
43,2020-04-29 14:26:41.029827,0.99666667,0.011269359,0.08,4.048517012596131,14.557483955286443
44,2020-04-29 14:26:55.655803,0.997,0.0134182535,0.14,3.3218000411987303,14.23940906720236
45,2020-04-29 14:27:09.970270,0.99666667,0.013879069,0.13,3.6996691465377807,14.154710882809013
46,2020-04-29 14:27:24.196923,0.997,0.015624534,0.1,5.856397390365601,14.374904563184828
47,2020-04-29 14:27:38.641141,0.99733335,0.020038206,0.06,2.7366312742233276,14.583119822666049
48,2020-04-29 14:27:53.295855,0.997,0.0095028775,0.1,2.7339154720306396,14.556051137391478
49,2020-04-29 14:28:07.922508,0.99666667,0.0106516825,0.09,2.8903886795043947,14.756218996830285
50,2020-04-29 14:28:22.756938,0.997,0.01171252,0.12,2.7300105333328246,14.409593045245856
51,2020-04-29 14:28:37.239402,0.99666667,0.009815638,0.13,3.806262421607971,14.675955056212842
52,2020-04-29 14:28:51.986036,0.997,0.014255445,0.08,2.9987086772918703,14.22958144498989
53,2020-04-29 14:29:06.286110,0.99666667,0.0111295795,0.12,3.885375905036926,14.262803682591766
54,2020-04-29 14:29:20.618440,0.997,0.01320923,0.11,3.355955147743225,14.319399482104927
55,2020-04-29 14:29:35.009393,0.99666667,0.013614788,0.08,3.914482855796814,14.361978574190289
56,2020-04-29 14:29:49.440215,0.997,0.015416947,0.1,5.7592072010040285,14.372646865900606
57,2020-04-29 14:30:03.881703,0.99733335,0.019583698,0.08,2.7731749296188353,14.490934676025063
58,2020-04-29 14:30:18.443682,0.997,0.00916568,0.1,2.5983259677886963,14.790018113330007
59,2020-04-29 14:30:33.307250,0.99666667,0.010343703,0.17,2.7086792945861817,14.235793739091605
60,2020-04-29 14:30:47.617257,0.997,0.0114342775,0.12,2.5741604447364805,14.201441536657512
61,2020-04-29 14:31:01.889717,0.99666667,0.009516537,0.13,3.629059362411499,14.53404901176691
62,2020-04-29 14:31:16.495456,0.997,0.013595872,0.07,3.067592000961304,15.35886196512729
63,2020-04-29 14:31:31.929876,0.99666667,0.010757462,0.05,3.841780114173889,14.375919091980904
64,2020-04-29 14:31:46.379690,0.997,0.012501072,0.26,2.820953845977783,14.123521628789604
65,2020-04-29 14:32:00.571379,0.99666667,0.012905373,0.14,3.3631896495819094,14.394609419628978
66,2020-04-29 14:32:15.038671,0.997,0.014110299,0.14,4.94435133934021,14.456622440367937
67,2020-04-29 14:32:29.564312,0.99733335,0.017971426,0.11,2.4793179273605346,14.231890883296728
68,2020-04-29 14:32:43.877092,0.997,0.008256819,0.16,2.556382179260254,14.638177074957639
69,2020-04-29 14:32:58.589528,0.99666667,0.009347617,0.23,2.3267824411392213,14.380249056965113
70,2020-04-29 14:33:13.040817,0.99696666,0.010224098,0.12,2.4335819363594053,14.78782417718321
71,2020-04-29 14:33:27.900627,0.99666667,0.008665461,0.12,3.419448232650757,14.207945920992643
72,2020-04-29 14:33:42.180092,0.997,0.011591148,0.11,2.5445651054382323,14.511346323415637
73,2020-04-29 14:33:56.764411,0.99666667,0.009060378,0.13,3.206253004074097,14.498226117808372
74,2020-04-29 14:34:11.340347,0.99726665,0.010136098,0.25,2.582007884979248,14.376446987036616
75,2020-04-29 14:34:25.803698,0.99666667,0.0111472495,0.08,2.8286112785339355,14.41062267916277
76,2020-04-29 14:34:40.284738,0.997,0.009439626,0.06,3.821843957901001,14.25747554609552
77,2020-04-29 14:34:54.621739,0.99733335,0.011913427,0.44,1.8515291452407836,14.541533524170518
78,2020-04-29 14:35:09.233205,0.9982333,0.005996625,0.39,1.8964413046836852,14.737160010728985
79,2020-04-29 14:35:24.040300,0.99756664,0.007036668,0.31,1.9573561906814576,14.278864393942058
80,2020-04-29 14:35:38.390224,0.99796665,0.0064901817,0.54,1.4665335655212401,14.403247856069356
81,2020-04-29 14:35:52.862003,0.9981667,0.0056906096,0.23,2.583879494667053,14.616910781245679
82,2020-04-29 14:36:07.556645,0.99766666,0.007654697,0.41,1.9988457798957824,14.656625725794584
83,2020-04-29 14:36:22.291720,0.9977667,0.0068437937,0.14,2.6277999758720396,14.404204905964434
84,2020-04-29 14:36:36.768118,0.99763334,0.006581343,0.39,1.682532972097397,14.71949529927224
85,2020-04-29 14:36:51.558562,0.9971,0.008908328,0.34,1.78047057390213,14.797291646245867
86,2020-04-29 14:37:06.431361,0.99873334,0.0046187085,0.27,2.074488067626953,14.169395259115845
87,2020-04-29 14:37:20.672179,0.99806666,0.0059102266,0.67,1.07929527759552,14.898719306103885
88,2020-04-29 14:37:35.642632,0.99873334,0.00378173,0.56,1.2777675211429596,14.695436812005937
89,2020-04-29 14:37:50.412930,0.99836665,0.0045474707,0.53,1.4679524302482605,14.63024536287412
90,2020-04-29 14:38:05.113463,0.99843335,0.0047795284,0.51,1.3392908036708833,14.607546743005514
91,2020-04-29 14:38:19.794931,0.99873334,0.0041551534,0.28,1.9534574270248413,14.417926668655127
92,2020-04-29 14:38:34.295233,0.99833333,0.00544318,0.49,1.3665547847747803,14.068107719067484
93,2020-04-29 14:38:48.432783,0.99813336,0.0045115543,0.25,2.17744927406311,14.636752778664231
94,2020-04-29 14:39:03.144679,0.99833333,0.004056387,0.66,1.1229435861110688,14.219578648917377
95,2020-04-29 14:39:17.433244,0.9977,0.0067554475,0.47,1.5629809081554413,14.203944555018097
96,2020-04-29 14:39:31.710721,0.99883336,0.004103845,0.52,1.5351295590400695,14.238463195040822
97,2020-04-29 14:39:46.019654,0.99836665,0.005279467,0.81,0.8050730943679809,14.396186789032072
98,2020-04-29 14:40:00.487062,0.9993,0.0028130196,0.68,0.8851167291402817,14.2184296711348
99,2020-04-29 14:40:14.775904,0.9985667,0.0040872907,0.65,1.1767504572868348,14.437356813810766
100,2020-04-29 14:40:29.284936,0.9988,0.003446847,0.77,0.7303033649921418,14.45025871321559
101,2020-04-29 14:40:43.805698,0.9988667,0.0030826684,0.56,1.201762616634369,14.417182694654912
102,2020-04-29 14:40:58.300758,0.9985333,0.0038974977,0.65,1.0308206260204316,14.46606301004067
103,2020-04-29 14:41:12.837783,0.9985,0.004235784,0.32,1.9874258160591125,14.519508589990437
104,2020-04-29 14:41:27.432197,0.99836665,0.0038996853,0.6,1.2843587934970855,14.644569775089622
105,2020-04-29 14:41:42.155324,0.9985333,0.004695958,0.56,1.1072587549686432,14.526598916389048
106,2020-04-29 14:41:56.753453,0.9992333,0.0023330748,0.53,1.477916806936264,14.279767837841064
107,2020-04-29 14:42:11.109114,0.9986333,0.0041638357,0.8,0.6271559417247772,14.293995293788612
108,2020-04-29 14:42:25.479456,0.9997,0.0020236121,0.8,0.7064583659172058,14.230375281069428
109,2020-04-29 14:42:39.782091,0.9989333,0.0030947714,0.73,0.8897202789783478,14.407457469031215
110,2020-04-29 14:42:54.264871,0.9992,0.002745632,0.72,0.7934122681617737,14.34079971909523
111,2020-04-29 14:43:08.674880,0.9992667,0.0024758747,0.68,0.8657886862754822,14.590305105317384
112,2020-04-29 14:43:23.339011,0.99903333,0.0026077058,0.92,0.4622939333319664,14.161255785264075
113,2020-04-29 14:43:37.579027,0.9994,0.0022124175,0.61,1.0644458055496215,14.186987693887204
114,2020-04-29 14:43:51.837896,0.9996333,0.0013486956,0.66,0.7539224416017533,14.371093282941729
115,2020-04-29 14:44:06.280650,0.9989,0.0028989492,0.27,3.0104512572288513,14.418214602861553
116,2020-04-29 14:44:20.770834,0.9988,0.0045033405,0.44,1.9139641046524047,14.56220475770533
117,2020-04-29 14:44:35.402272,0.99866664,0.0042603337,0.78,0.5856429725885391,14.58888877602294
118,2020-04-29 14:44:50.061885,0.9992667,0.002496721,0.7,0.8246261000633239,14.27511073462665
119,2020-04-29 14:45:04.413458,0.99916667,0.0031453841,0.83,0.5708622485399246,14.408629718236625
120,2020-04-29 14:45:18.895689,0.99883336,0.0029098922,0.76,0.6608234792947769,14.582256677094847
121,2020-04-29 14:45:33.553052,0.99943334,0.002412181,0.68,0.8140097439289093,14.253697156906128
122,2020-04-29 14:45:47.876359,0.99913335,0.0021739556,0.86,0.5521269157528877,14.667067629750818
123,2020-04-29 14:46:02.626327,0.9996333,0.0014978237,0.64,0.8171152874827385,14.396362727042288
124,2020-04-29 14:46:17.093352,0.99946666,0.0016131,0.79,0.5661528274416924,14.495801536366343
125,2020-04-29 14:46:31.661463,0.99946666,0.0021429453,0.56,1.43375324010849,14.526829330716282
126,2020-04-29 14:46:46.263523,0.9993,0.0023740912,0.57,1.1654141306877137,14.462442500051111
127,2020-04-29 14:47:00.795769,0.99873334,0.003909757,0.82,0.4714621752500534,14.448966288939118
128,2020-04-29 14:47:15.315978,0.9993333,0.0022734487,0.81,0.5085398688912391,14.565786194056273
129,2020-04-29 14:47:29.953927,0.99943334,0.0019131576,0.85,0.42945021390914917,14.848342552315444
130,2020-04-29 14:47:44.883398,0.99946666,0.0021835957,0.82,0.4941240563988686,14.213476955890656
131,2020-04-29 14:47:59.169899,0.9993,0.0025480613,0.61,0.9916583716869354,14.60880650067702
132,2020-04-29 14:48:13.850785,0.9989667,0.003205979,0.87,0.5555215641856194,14.280323980841786
133,2020-04-29 14:48:28.199369,0.9996,0.0014866247,0.55,1.365241801738739,14.422084952704608
134,2020-04-29 14:48:42.690721,0.99943334,0.0018099392,0.71,0.7768224030733109,14.46194368088618
135,2020-04-29 14:48:57.223887,0.9992333,0.0026866612,0.77,0.7156118474900722,14.348030631896108
136,2020-04-29 14:49:11.648749,0.99943334,0.002002369,0.79,0.6357958137989044,14.587580506689847
137,2020-04-29 14:49:26.310880,0.99906665,0.0031485509,0.79,0.5381013050675392,14.48977251118049
138,2020-04-29 14:49:40.875517,0.99946666,0.0014918817,0.84,0.4633022651076317,14.20412358501926
139,2020-04-29 14:49:55.151266,0.9995,0.0016091646,0.89,0.2986951697617769,14.30361908255145
140,2020-04-29 14:50:09.527459,0.9996,0.0014785657,0.9,0.3438678704202175,14.509652741719037
141,2020-04-29 14:50:24.110696,0.99943334,0.001830853,0.7,0.7848699882626533,14.536143742967397
142,2020-04-29 14:50:38.716388,0.9992667,0.002196814,0.8,0.5666552186012268,14.802241279743612
143,2020-04-29 14:50:53.590582,0.99953336,0.0013933851,0.56,1.215484184026718,14.417141732759774
144,2020-04-29 14:51:08.080928,0.9993,0.001976608,0.72,0.8354271367192269,14.325706152245402
145,2020-04-29 14:51:22.480614,0.99903333,0.0032691706,0.77,0.7142406687140465,14.20703616598621
146,2020-04-29 14:51:36.764661,0.9993333,0.0021245328,0.78,0.7164233550429344,14.612858063075691
147,2020-04-29 14:51:51.448625,0.9993,0.0025724613,0.9,0.30754429548978807,14.46212232299149
148,2020-04-29 14:52:05.981616,0.9995667,0.0013544203,0.88,0.32948716804385186,14.374109867028892
149,2020-04-29 14:52:20.423757,0.9993,0.0020195767,0.87,0.31980901062488554,14.594348382670432
150,2020-04-29 14:52:35.086401,0.99936664,0.0018332845,0.94,0.2435288641601801,14.653858250938356
151,2020-04-29 14:52:49.811196,0.9995,0.0017092957,0.84,0.47108381912112235,14.347159929107875
152,2020-04-29 14:53:04.231634,0.9993333,0.0020687957,0.9,0.33929969146847727,14.44045533798635
153,2020-04-29 14:53:18.744930,0.9996667,0.0010734455,0.81,0.5498456925153732,14.309009646996856
154,2020-04-29 14:53:33.126657,0.99976665,0.00090822385,0.8,0.3612114295363426,14.27855075430125
155,2020-04-29 14:53:47.475784,0.99953336,0.0015642311,0.71,1.344178694486618,14.219492433127016
156,2020-04-29 14:54:01.769067,0.99936664,0.0022869,0.7,0.9404210865497589,14.994997798930854
157,2020-04-29 14:54:16.832457,0.99906665,0.0028880343,0.86,0.40124559253454206,14.440282952040434
158,2020-04-29 14:54:31.341007,0.9991,0.001994912,0.89,0.33131505474448203,14.732317198067904
159,2020-04-29 14:54:46.144835,0.99953336,0.0015633187,0.87,0.40520318895578383,14.273019273765385
160,2020-04-29 14:55:00.487007,0.9996333,0.0013721316,0.94,0.3052340731024742,14.124590780120343
161,2020-04-29 14:55:14.688467,0.9996,0.0014294977,0.83,0.5071280479431153,14.827277363743633
162,2020-04-29 14:55:29.585789,0.99953336,0.0014090156,0.9,0.27736373357474803,14.298881652299315
163,2020-04-29 14:55:43.955232,0.9995,0.0020087857,0.78,0.6440253868699074,14.302508537191898
164,2020-04-29 14:55:58.335526,0.9996,0.0014788532,0.74,0.5331081420183181,14.741962012834847
165,2020-04-29 14:56:13.143831,0.9995667,0.0013337564,0.75,0.7627901345491409,14.573162116110325
166,2020-04-29 14:56:27.790761,0.99943334,0.0015361692,0.78,0.7865095630288124,14.269753283821046
167,2020-04-29 14:56:42.133034,0.99936664,0.0023609942,0.76,0.6581264056265355,14.198281919118017
168,2020-04-29 14:56:56.406502,0.9996333,0.0010420298,0.87,0.44487052112817765,14.327674991916865
169,2020-04-29 14:57:10.805834,0.99953336,0.0014484643,0.88,0.32773599624633787,14.21443971293047
170,2020-04-29 14:57:25.095321,0.9997333,0.0009937563,0.93,0.29197210557758807,15.071460677776486
171,2020-04-29 14:57:40.240123,0.99943334,0.0017157206,0.72,0.8136208295822144,14.516024693381041
172,2020-04-29 14:57:54.828464,0.9992,0.002155719,0.92,0.275318343937397,14.48783157300204
173,2020-04-29 14:58:09.386661,0.9995667,0.0014634868,0.89,0.333761865645647,14.491053882986307
174,2020-04-29 14:58:23.950365,0.99976665,0.0010013547,0.89,0.33233985528349874,14.081122480798513
175,2020-04-29 14:58:38.101713,0.99953336,0.0014733957,0.71,0.9744259476661682,14.347915006801486
176,2020-04-29 14:58:52.524417,0.9993333,0.0017219299,0.79,0.7725804895162582,14.547845866065472
177,2020-04-29 14:59:07.145699,0.99936664,0.0018202178,0.91,0.31177688427269457,14.738654412794858
178,2020-04-29 14:59:21.959273,0.9997,0.0010680351,0.9,0.27216718569397924,14.637681332882494
179,2020-04-29 14:59:36.669144,0.99976665,0.0009542646,0.93,0.17580681145191193,14.035980510991067
180,2020-04-29 14:59:50.773508,0.9997,0.0011176964,0.93,0.21522024665027856,14.422614672221243
181,2020-04-29 15:00:05.267533,0.9997,0.0013041242,0.86,0.35326830893754957,14.63349389610812
182,2020-04-29 15:00:19.971022,0.9995,0.0016167335,0.89,0.38681719191372393,14.298533883877099
183,2020-04-29 15:00:34.341992,0.9996333,0.000965391,0.79,0.5933453291654587,14.370076129212976
184,2020-04-29 15:00:48.789743,0.9997333,0.0010277859,0.91,0.24421715475618838,14.821461805608124
185,2020-04-29 15:01:03.681099,0.9998,0.0009039472,0.85,0.4705005884170532,14.554763737134635
186,2020-04-29 15:01:18.306697,0.9996667,0.00089229835,0.83,0.4953371223062277,14.363760330714285
187,2020-04-29 15:01:32.745852,0.99943334,0.0019024116,0.83,0.42778470516204836,14.694516297895461
188,2020-04-29 15:01:47.509978,0.9993,0.0018633547,0.86,0.39684081049636005,14.33261808892712
189,2020-04-29 15:02:01.914322,0.9995,0.0016258936,0.85,0.38806158751249314,14.414527732878923
190,2020-04-29 15:02:16.399494,0.99953336,0.0013249125,0.95,0.17342771552503108,14.750982054043561
191,2020-04-29 15:02:31.226236,0.9997333,0.0009625877,0.89,0.3516048021614552,14.535357344895601
192,2020-04-29 15:02:45.838868,0.9995667,0.0014271765,0.91,0.2628362225368619,14.39044350804761
193,2020-04-29 15:03:00.300380,0.9996333,0.0014712592,0.83,0.40391983166337014,14.614043769892305
194,2020-04-29 15:03:14.986249,0.9998,0.00091229245,0.88,0.3312696602195501,14.585650281049311
195,2020-04-29 15:03:29.644077,0.9996333,0.0010037702,0.73,0.8402105942368507,14.48579640313983
196,2020-04-29 15:03:44.203954,0.99976665,0.00082520593,0.75,0.9986043363809586,14.439464411698282
197,2020-04-29 15:03:58.717668,0.9993,0.0018366509,0.91,0.32229697704315186,14.498907160013914
198,2020-04-29 15:04:13.288198,0.9996333,0.0013470908,0.86,0.34640910029411315,14.754950078204274
199,2020-04-29 15:04:28.122172,0.99953336,0.0012610427,0.88,0.27917410545051097,14.909776255022734
200,2020-04-29 15:04:43.101258,0.9996333,0.0012689272,0.94,0.17084720730781555,14.236362419091165
