ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-04-29 19:47:17.506254,0.9968889,0.03269084,0.12,3.3364870071411135,24.80812514387071
2,2020-04-29 19:47:42.465872,0.99733335,0.011179693,0.11,3.85611310005188,23.305942375212908
3,2020-04-29 19:48:05.855465,0.9968889,0.028978301,0.07,2.5161033391952516,23.65194519609213
4,2020-04-29 19:48:29.589484,0.9968889,0.014854597,0.14,2.5474087715148928,24.775893735233694
5,2020-04-29 19:48:54.450514,0.9971111,0.008539621,0.08,2.706315445899963,24.751142809167504
6,2020-04-29 19:49:19.277240,0.9968889,0.0107424855,0.09,2.964841032028198,25.199050856754184
7,2020-04-29 19:49:44.553629,0.99666667,0.012325008,0.09,2.591227889060974,23.176642030011863
8,2020-04-29 19:50:07.815686,0.99755555,0.011224305,0.12,2.435026502609253,24.507159762084484
9,2020-04-29 19:50:32.406433,0.9973556,0.0079157995,0.14,2.765308380126953,23.960467902943492
10,2020-04-29 19:50:56.451902,0.99686664,0.010126484,0.08,2.6698853254318236,23.75436185207218
11,2020-04-29 19:51:20.285090,0.9971111,0.009566161,0.19,2.859354543685913,23.477459975052625
12,2020-04-29 19:51:43.813171,0.9971778,0.010990834,0.16,2.621116042137146,23.2615729351528
13,2020-04-29 19:52:07.156534,0.99755555,0.009607464,0.06,2.4464977264404295,23.802418847102672
14,2020-04-29 19:52:31.015664,0.9971111,0.008489939,0.15,4.236700057983398,23.483578816987574
15,2020-04-29 19:52:54.578195,0.99733335,0.017784195,0.14,3.0907840847969057,24.25973061705008
16,2020-04-29 19:53:18.922633,0.9968889,0.015837573,0.09,2.8040111541748045,23.270131831988692
17,2020-04-29 19:53:42.285828,0.9968889,0.012169454,0.12,2.297070860862732,23.560471488162875
18,2020-04-29 19:54:05.935477,0.9972,0.007443593,0.54,2.421160626411438,24.147292545996606
19,2020-04-29 19:54:30.162135,0.9980222,0.009303692,0.13,2.401712441444397,24.106093181762844
20,2020-04-29 19:54:54.356163,0.99666667,0.008094163,0.18,2.6365523815155028,24.607039368711412
21,2020-04-29 19:55:19.053433,0.998,0.0076563847,0.1,2.68736526966095,23.59035584097728
22,2020-04-29 19:55:42.722832,0.99733335,0.008228567,0.07,2.8837351560592652,23.642510486766696
23,2020-04-29 19:56:06.422056,0.9968889,0.01121779,0.09,2.5302157402038574,23.444640832953155
24,2020-04-29 19:56:29.950638,0.9968889,0.008649753,0.18,2.409933698177338,24.015631437767297
25,2020-04-29 19:56:54.047536,0.9971778,0.008297322,0.14,2.398447847366333,24.105350497644395
26,2020-04-29 19:57:18.210404,0.9968889,0.0101190405,0.11,2.680680012702942,23.875783612951636
27,2020-04-29 19:57:42.164532,0.99666667,0.009572471,0.21,2.201161062717438,23.290612700860947
28,2020-04-29 19:58:05.545882,0.9977555,0.008187569,0.25,2.0056575655937197,24.032802226021886
29,2020-04-29 19:58:29.655153,0.99777776,0.0063462686,0.35,2.1942240834236144,23.561830701772124
30,2020-04-29 19:58:53.312755,0.99762225,0.0076721874,0.25,2.1928799629211424,25.09122578194365
31,2020-04-29 19:59:18.451873,0.9974889,0.0073801405,0.21,2.176607811450958,23.696988235227764
32,2020-04-29 19:59:42.208309,0.99733335,0.0077588623,0.27,2.0886828780174254,23.662597654853016
33,2020-04-29 20:00:05.950953,0.9976889,0.0082687335,0.2,2.003007912635803,23.822156027890742
34,2020-04-29 20:00:29.854361,0.9977111,0.0066267448,0.08,3.3310282468795775,24.170155413914472
35,2020-04-29 20:00:54.110115,0.99733335,0.010808531,0.15,2.483260428905487,23.534809166099876
36,2020-04-29 20:01:17.732759,0.9968889,0.010731628,0.29,1.9557190537452698,23.89452116796747
37,2020-04-29 20:01:41.707058,0.99733335,0.007848511,0.53,1.5836788177490235,23.38466186169535
38,2020-04-29 20:02:05.168344,0.99851114,0.005061202,0.56,1.6577373027801514,24.287524143233895
39,2020-04-29 20:02:29.547524,0.9984222,0.005783661,0.39,1.4941542387008666,23.930902555119246
40,2020-04-29 20:02:53.535165,0.99833333,0.004537173,0.36,1.5739778995513916,23.773591658100486
41,2020-04-29 20:03:17.361669,0.99855554,0.0040118024,0.38,1.7858064293861389,23.46496368665248
42,2020-04-29 20:03:40.906019,0.998,0.005804222,0.4,1.8469056069850922,24.821771235670894
43,2020-04-29 20:04:05.821991,0.99766666,0.007826076,0.42,1.5331301927566527,23.714893356896937
44,2020-04-29 20:04:29.625817,0.99844444,0.00538312,0.55,1.301435685157776,24.22291155764833
45,2020-04-29 20:04:53.938606,0.9987111,0.004342586,0.64,1.3202141165733337,24.631172774825245
46,2020-04-29 20:05:18.649710,0.9981111,0.005296599,0.29,1.7577144742012023,24.590197823010385
47,2020-04-29 20:05:43.322414,0.9980889,0.0066776793,0.66,1.1864420294761657,24.512864384800196
48,2020-04-29 20:06:07.918058,0.9986889,0.004945488,0.5,1.3767931938171387,24.054184186272323
49,2020-04-29 20:06:32.059887,0.99855554,0.0043231673,0.58,1.2211885809898377,24.499961961060762
50,2020-04-29 20:06:56.632895,0.99862224,0.004299085,0.61,1.171239399909973,24.30549830198288
51,2020-04-29 20:07:21.026183,0.99851114,0.004132833,0.63,1.0463297426700593,23.741170295048505
52,2020-04-29 20:07:44.851429,0.9984,0.0038827807,0.59,1.3924085021018981,24.11149911303073
53,2020-04-29 20:08:09.016817,0.99862224,0.004072862,0.56,1.1596100807189942,24.140008094720542
54,2020-04-29 20:08:33.235108,0.9988222,0.0035561235,0.49,1.5053555488586425,24.318397706840187
55,2020-04-29 20:08:57.635513,0.99824446,0.004383946,0.47,1.6853252530097962,24.02603687904775
56,2020-04-29 20:09:21.739283,0.998,0.0057160435,0.66,1.2706116557121276,23.929204931948334
57,2020-04-29 20:09:45.746517,0.99866664,0.004834848,0.55,1.2622134983539581,23.95879340916872
58,2020-04-29 20:10:09.784092,0.9986445,0.0036442662,0.75,0.8932233452796936,24.259581881109625
59,2020-04-29 20:10:34.126628,0.9986889,0.0044302037,0.76,0.8028053045272827,23.934165867976844
60,2020-04-29 20:10:58.137083,0.9992889,0.0028713148,0.71,0.8231849849224091,24.29822228429839
61,2020-04-29 20:11:22.514971,0.9993111,0.00266155,0.6,1.172464656829834,24.229253789875656
62,2020-04-29 20:11:46.821435,0.9989333,0.003238527,0.69,0.8098960518836975,23.786720820702612
63,2020-04-29 20:12:10.698432,0.9988,0.003103833,0.82,0.6325887709856033,23.433862775098532
64,2020-04-29 20:12:34.209727,0.9993778,0.0022711926,0.73,0.8275614529848099,23.98694471595809
65,2020-04-29 20:12:58.276276,0.9992889,0.0022781088,0.66,0.8864766478538513,23.035716553684324
66,2020-04-29 20:13:21.366635,0.9985778,0.0039292914,0.55,1.5265355467796327,24.60415606899187
67,2020-04-29 20:13:46.067921,0.9986445,0.00784279,0.56,1.16082683801651,24.96622697589919
68,2020-04-29 20:14:11.113298,0.9988,0.003326167,0.68,0.8946476995944976,24.452510455157608
69,2020-04-29 20:14:35.648088,0.9989111,0.0034036022,0.87,0.5940849423408509,24.317604868672788
70,2020-04-29 20:15:00.040304,0.9992889,0.0025459623,0.8,0.558635339140892,24.351083694957197
71,2020-04-29 20:15:24.467964,0.99917775,0.0025987495,0.75,0.6311471968889236,23.323812681715935
72,2020-04-29 20:15:47.868408,0.99906665,0.002790383,0.68,0.8368433803319931,23.509707710240036
73,2020-04-29 20:16:11.456109,0.9989778,0.0028922956,0.74,0.7715678840875626,24.671759170945734
74,2020-04-29 20:16:36.205536,0.99906665,0.0024956618,0.63,0.8212170004844666,23.950346073135734
