ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-05 16:53:23.616956,0.8398,0.47510186,0.91,0.28059157461393625,29.312467981129885
2,2020-05-05 16:53:53.314575,0.9830833,0.058492072,0.94,0.25111641098119436,28.704808769747615
3,2020-05-05 16:54:22.117130,0.98941666,0.03667242,0.96,0.10015306020068238,28.34407728817314
4,2020-05-05 16:54:50.567253,0.9924667,0.02786206,0.95,0.13418081649433589,28.237735249102116
5,2020-05-05 16:55:18.903941,0.993,0.02697139,0.98,0.05240938510978595,28.660142092965543
6,2020-05-05 16:55:47.659428,0.9943333,0.02009956,0.97,0.05914888185034215,28.588627601973712
7,2020-05-05 16:56:16.339012,0.9952667,0.017007325,0.96,0.0988871944067796,28.619077313691378
8,2020-05-05 16:56:45.046578,0.99546665,0.016369026,0.98,0.05587868440561579,28.457641893066466
9,2020-05-05 16:57:13.600775,0.9960667,0.01473048,0.98,0.10717153250297998,28.361546556465328
10,2020-05-05 16:57:42.046899,0.99576664,0.015570972,0.98,0.0530179336002675,28.84588665422052
11,2020-05-05 16:58:10.973995,0.9964333,0.012624638,1.0,0.005098630599877652,28.76307682786137
