ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-07 09:59:46.926194,0.99666667,0.022289932,0.11,11.121521377563477,4.618459637276828
2,2020-05-07 09:59:51.723042,0.99333334,0.06477959,0.09,10.733820533752441,4.675281323492527
3,2020-05-07 09:59:56.557967,0.99333334,0.09338298,0.12,2.8780377388000487,4.571214213036001
4,2020-05-07 10:00:01.247791,0.99333334,0.023949914,0.11,5.458669233322143,4.576356487348676
5,2020-05-07 10:00:05.944984,0.99666667,0.034839556,0.13,5.1914194345474245,4.695707741193473
6,2020-05-07 10:00:10.754029,0.99833333,0.011234408,0.13,6.071688342094421,4.625692403875291
7,2020-05-07 10:00:15.499673,0.99833333,0.005401851,0.11,7.023081588745117,4.540070163086057
8,2020-05-07 10:00:20.159595,0.99333334,0.06199168,0.07,10.62999792098999,4.492258260026574
9,2020-05-07 10:00:24.753496,0.9866667,0.110656746,0.08,3.8421123027801514,4.693303229287267
10,2020-05-07 10:00:29.561698,0.9916667,0.027150135,0.1,6.030203533172608,4.658100196160376
11,2020-05-07 10:00:34.333716,0.99333334,0.041708503,0.07,10.751016807556152,4.63161322940141
12,2020-05-07 10:00:39.072935,0.99666667,0.031054769,0.11,5.844372630119324,4.689465291798115
13,2020-05-07 10:00:43.888610,0.99666667,0.016113749,0.08,5.807375526428222,4.611402923241258
14,2020-05-07 10:00:48.687659,0.99666667,0.023936702,0.09,5.569225454330445,4.4049028139561415
15,2020-05-07 10:00:53.178873,0.995,0.03452257,0.14,4.129752826690674,4.597334148362279
16,2020-05-07 10:00:57.899375,0.99666667,0.024572013,0.07,3.8316570281982423,4.67059326171875
17,2020-05-07 10:01:02.685858,0.99666667,0.01642796,0.07,10.46113429069519,4.656084005720913
18,2020-05-07 10:01:07.460033,0.99833333,0.022319626,0.15,5.757947778701782,4.5324854869395494
19,2020-05-07 10:01:12.105355,0.99666667,0.029197514,0.03,5.132770538330078,4.641074264422059
20,2020-05-07 10:01:16.860260,0.99833333,0.01275493,0.08,5.4265705108642575,4.456898929551244
21,2020-05-07 10:01:21.432112,0.99833333,0.0030100825,0.14,7.056456279754639,4.647162728942931
22,2020-05-07 10:01:26.196498,0.99833333,0.020535324,0.1,4.879135990142823,4.604283029213548
23,2020-05-07 10:01:30.909781,0.99833333,0.008885498,0.07,6.0896107196807865,4.653204240836203
24,2020-05-07 10:01:35.676834,0.99666667,0.020427465,0.06,6.044753646850586,4.5380263682454824
25,2020-05-07 10:01:40.326844,0.99833333,0.019736577,0.09,5.498826599121093,4.612598331645131
26,2020-05-07 10:01:45.052652,0.99666667,0.025783043,0.09,5.33358211517334,4.52562085352838
27,2020-05-07 10:01:49.696215,0.99666667,0.034125116,0.08,4.337272024154663,4.780541895888746
28,2020-05-07 10:01:54.593188,0.99833333,0.015022912,0.07,4.872522974014283,4.582220826297998
29,2020-05-07 10:01:59.289936,0.99666667,0.018066015,0.11,5.277165460586548,4.689585976302624
30,2020-05-07 10:02:04.095804,0.99833333,0.0141452,0.08,5.90261025428772,4.603282626718283
31,2020-05-07 10:02:08.820326,0.99666667,0.024066579,0.12,4.704707384109497,4.593118397518992
32,2020-05-07 10:02:13.533258,0.99666667,0.028734442,0.08,4.903249979019165,4.569965642876923
33,2020-05-07 10:02:18.281645,0.99833333,0.0029170236,0.09,6.393498492240906,4.505859138444066
34,2020-05-07 10:02:22.874225,1.0,0.0012153095,0.09,11.30626335144043,4.7115521458908916
35,2020-05-07 10:02:27.699835,0.99666667,0.05891771,0.1,3.1165650129318236,4.685332598164678
36,2020-05-07 10:02:32.503452,0.9916667,0.03271533,0.08,4.92410979270935,4.602531481534243
37,2020-05-07 10:02:37.223184,0.99833333,0.014848466,0.14,5.401480579376221,4.618886181153357
38,2020-05-07 10:02:41.983543,0.99666667,0.020649206,0.11,5.066585063934326,4.692734665237367
39,2020-05-07 10:02:46.836081,0.99666667,0.02431957,0.11,10.230514669418335,4.7021044213324785
40,2020-05-07 10:02:51.679614,0.99333334,0.056329895,0.06,3.8558648109436033,4.671590664424002
41,2020-05-07 10:02:56.461358,0.9916667,0.028651468,0.06,5.675782537460327,4.575541238300502
42,2020-05-07 10:03:01.153846,0.99666667,0.037013043,0.15,3.6315697193145753,4.633259514346719
43,2020-05-07 10:03:05.897145,0.99666667,0.017524233,0.08,5.634190535545349,4.600567145273089
44,2020-05-07 10:03:10.613671,0.99666667,0.03303934,0.1,4.370248866081238,4.574442776851356
45,2020-05-07 10:03:15.312226,0.99666667,0.022782532,0.11,4.3285359144210815,4.503056591376662
46,2020-05-07 10:03:19.934318,0.99666667,0.0239888,0.11,5.207836699485779,4.614498836919665
47,2020-05-07 10:03:24.664535,0.99666667,0.020818688,0.11,5.086894416809082,4.597467546351254
48,2020-05-07 10:03:29.377863,0.99833333,0.013668576,0.12,5.703653573989868,4.682486064732075
49,2020-05-07 10:03:34.175915,0.99666667,0.0038746167,0.12,10.558635139465332,4.554167968221009
50,2020-05-07 10:03:38.844193,0.995,0.058759928,0.09,3.149639892578125,4.641297782771289
51,2020-05-07 10:03:43.599741,0.99333334,0.028603047,0.16,9.845066547393799,4.5053786197677255
52,2020-05-07 10:03:48.220393,0.99333334,0.056575526,0.09,10.543041563034057,4.891279301606119
53,2020-05-07 10:03:53.234261,0.99666667,0.044191025,0.11,3.4309825897216797,4.721613435074687
54,2020-05-07 10:03:58.072743,0.98833334,0.041593406,0.14,3.6244487524032594,4.632844211533666
55,2020-05-07 10:04:02.818430,0.99333334,0.030492518,0.07,4.857935285568237,4.5995171796530485
56,2020-05-07 10:04:07.530897,0.99666667,0.010668898,0.11,5.512730407714844,4.607852008193731
57,2020-05-07 10:04:12.251797,0.99833333,0.0026206481,0.11,6.3357233047485355,4.684802750125527
58,2020-05-07 10:04:17.049235,0.99666667,0.023813158,0.14,9.874071025848389,4.538019864819944
59,2020-05-07 10:04:21.705715,0.9916667,0.06753953,0.17,4.137017822265625,4.665333249606192
60,2020-05-07 10:04:26.483108,0.99833333,0.015144236,0.11,5.75722599029541,4.6192927453666925
61,2020-05-07 10:04:31.212815,0.99666667,0.030415827,0.1,10.253748607635497,4.699210146442056
62,2020-05-07 10:04:36.032737,0.99833333,0.024716627,0.06,2.9077322244644166,4.661529114469886
63,2020-05-07 10:04:40.811947,0.99333334,0.020600617,0.11,3.1347858190536497,4.704877122305334
64,2020-05-07 10:04:45.630004,0.995,0.01828062,0.07,6.436091947555542,4.65128506347537
65,2020-05-07 10:04:50.402876,0.99666667,0.03676644,0.13,4.71489737033844,4.699159077368677
66,2020-05-07 10:04:55.222480,0.99666667,0.027491856,0.08,4.721375322341919,4.635712786577642
67,2020-05-07 10:04:59.974905,0.99666667,0.02312912,0.11,10.069597625732422,4.740865089930594
68,2020-05-07 10:05:04.833678,0.99666667,0.021468872,0.08,6.019632720947266,4.7113251043483615
69,2020-05-07 10:05:09.658267,0.99666667,0.029452372,0.12,4.991047048568726,4.7348263850435615
70,2020-05-07 10:05:14.504441,0.99833333,0.013858245,0.1,5.577655887603759,4.502377153374255
71,2020-05-07 10:05:19.125888,0.99833333,0.0026020475,0.09,6.238984680175781,4.958071635104716
72,2020-05-07 10:05:24.205639,0.99833333,0.015991589,0.12,5.490954637527466,4.699862512759864
73,2020-05-07 10:05:29.017651,0.99833333,0.0107097775,0.09,6.1351696968078615,4.6583192981779575
74,2020-05-07 10:05:33.789127,0.99666667,0.02264433,0.09,5.659966087341308,4.756851809099317
75,2020-05-07 10:05:38.663633,0.99833333,0.016733693,0.08,5.4537732124328615,4.62694354634732
76,2020-05-07 10:05:43.402230,0.99666667,0.025705045,0.15,5.008359098434449,4.640745565295219
77,2020-05-07 10:05:48.159160,0.99666667,0.033949275,0.1,4.660374331474304,4.624014469794929
78,2020-05-07 10:05:52.895721,0.99833333,0.017672196,0.09,4.779693222045898,4.715964684262872
79,2020-05-07 10:05:57.725577,0.99666667,0.018492224,0.07,5.5068365097045895,4.836204004473984
80,2020-05-07 10:06:02.676495,0.99833333,0.013283925,0.09,5.759470224380493,4.708936673589051
81,2020-05-07 10:06:07.497517,0.99666667,0.023205118,0.12,4.643893098831176,4.760548720136285
82,2020-05-07 10:06:12.370906,0.99666667,0.029324386,0.08,4.471805596351624,4.659450731240213
83,2020-05-07 10:06:17.139012,0.99833333,0.002953592,0.14,5.31732144355774,4.692690508440137
84,2020-05-07 10:06:21.943727,1.0,0.0021927163,0.06,11.235057353973389,4.511374643072486
85,2020-05-07 10:06:26.574887,0.995,0.049574487,0.05,5.433006811141968,4.663117298856378
86,2020-05-07 10:06:31.348461,0.99666667,0.021917196,0.02,5.787419319152832,4.63279701769352
87,2020-05-07 10:06:36.092177,0.99833333,0.0141905695,0.13,5.391733884811401,4.641235772520304
88,2020-05-07 10:06:40.852479,0.99666667,0.01667935,0.11,5.348973965644836,4.625759585760534
89,2020-05-07 10:06:45.589875,0.99666667,0.025571685,0.13,9.720425033569336,4.577252026647329
90,2020-05-07 10:06:50.284014,0.99666667,0.04419101,0.12,2.8803213596343995,4.634723692201078
91,2020-05-07 10:06:55.099070,0.9916667,0.027190683,0.11,6.152491664886474,4.4360581478103995
92,2020-05-07 10:06:59.619730,0.99666667,0.03584213,0.11,3.9138458013534545,4.44799735583365
93,2020-05-07 10:07:04.165737,0.99666667,0.017053071,0.09,5.617673349380493,4.647141673602164
94,2020-05-07 10:07:08.897862,0.99666667,0.027681565,0.18,4.579490494728089,4.634333544410765
95,2020-05-07 10:07:13.644573,0.99666667,0.024022903,0.1,4.5592669486999515,4.693076842464507
96,2020-05-07 10:07:18.451417,0.99666667,0.024414307,0.08,4.9048394680023195,4.728881825692952
97,2020-05-07 10:07:23.294469,0.99666667,0.022666778,0.16,5.013711071014404,4.773687723092735
98,2020-05-07 10:07:28.177690,0.99833333,0.01316901,0.15,5.173246717453003,4.740001181140542
99,2020-05-07 10:07:33.027079,0.99666667,0.0040903036,0.1,10.59386978149414,4.7417772533372045
100,2020-05-07 10:07:37.882510,0.995,0.048513662,0.09,2.7443920135498048,4.71663692779839
101,2020-05-07 10:07:42.714521,0.99666667,0.021293098,0.05,10.757696914672852,4.584927706979215
102,2020-05-07 10:07:47.412115,0.99333334,0.04810663,0.09,12.230925941467286,4.724496945738792
103,2020-05-07 10:07:52.248980,0.9916667,0.060082637,0.11,3.4624134302139282,4.568909211084247
104,2020-05-07 10:07:56.932361,0.99666667,0.017883314,0.1,4.732650589942932,4.8007979253306985
105,2020-05-07 10:08:01.845695,0.99666667,0.023594694,0.08,5.450618648529053,4.713868761435151
106,2020-05-07 10:08:06.672837,0.99833333,0.013528276,0.05,5.610723638534546,4.7428243812173605
