ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-05 23:35:09.854254,0.8133,0.6101586,0.87,1.5575809359550477,42.53599773533642
2,2020-05-05 23:35:52.576467,0.9624778,0.13778971,0.94,0.2438194440677762,41.312660759314895
3,2020-05-05 23:36:34.010753,0.9843444,0.055108447,0.95,0.2383115741657093,41.6526854429394
4,2020-05-05 23:37:15.761285,0.9911778,0.030754734,0.96,0.14602346339725045,40.74270355515182
5,2020-05-05 23:37:56.603348,0.9908889,0.03597168,0.96,0.09326022549648769,40.554703815840185
6,2020-05-05 23:38:37.268044,0.99366665,0.023663718,0.96,0.12437073746841634,41.1225168434903
7,2020-05-05 23:39:18.528243,0.99455553,0.02133286,0.98,0.08851424317690544,40.915420062839985
8,2020-05-05 23:39:59.551199,0.99664444,0.01237588,0.97,0.09758790740161202,41.142355263233185
9,2020-05-05 23:40:40.789595,0.9952889,0.016223678,0.98,0.16484012104301654,40.757076701149344
10,2020-05-05 23:41:21.641852,0.9949778,0.019777238,0.95,0.13752619476836117,41.00852493289858
11,2020-05-05 23:42:02.751561,0.9964111,0.013377881,0.98,0.09156951446320818,40.43854320887476
12,2020-05-05 23:42:43.288494,0.9964333,0.013028657,0.98,0.03659712708176812,41.02137484867126
13,2020-05-05 23:43:24.414160,0.9976778,0.009035895,0.99,0.059722228707687466,40.58882622886449
