ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-02 17:17:55.752219,0.106,2.3012853,0.13333334,2.286668300628662,3.584219819866121
2,2020-06-02 17:17:59.504786,0.094,2.2928636,0.11666667,2.289919376373291,3.480785720050335
3,2020-06-02 17:18:03.100071,0.097333334,2.2792797,0.13333334,2.2466278076171875,3.6211662953719497
4,2020-06-02 17:18:06.832115,0.116,2.2379875,0.35,2.148522138595581,3.5812490805983543
5,2020-06-02 17:18:10.514236,0.21633333,2.1633737,0.51666665,2.0641767978668213,3.566746534779668
6,2020-06-02 17:18:14.197122,0.359,2.1210663,0.6666667,1.743151068687439,3.6038074735552073
7,2020-06-02 17:18:17.899947,0.41533333,2.353127,0.2,2.2639243602752686,3.8318395018577576
8,2020-06-02 17:18:21.848041,0.273,2.2367966,0.48333332,2.132075786590576,3.787107232026756
9,2020-06-02 17:18:25.734539,0.37866667,2.0424314,0.41666666,1.8607314825057983,3.7223610850051045
10,2020-06-02 17:18:29.557009,0.46333334,1.8915972,0.48333332,1.7111318111419678,3.7475918009877205
11,2020-06-02 17:18:33.424759,0.58933336,1.531163,0.71666664,1.1196597814559937,3.6810286846011877
12,2020-06-02 17:18:37.209110,0.634,1.4012463,0.56666666,1.2198959589004517,3.6691571064293385
