ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-08 14:39:01.758497,0.16033334,2.17723,0.12,2.3406689167022705,4.848153204657137
2,2020-06-08 14:39:06.885709,0.299,2.3799531,0.02,2.3092384338378906,4.997628261335194
3,2020-06-08 14:39:12.014446,0.20566666,2.2334552,0.08,2.3100342750549316,5.023138691671193
4,2020-06-08 14:39:17.164113,0.253,2.1575332,0.12,2.3269009590148926,4.39298002794385
5,2020-06-08 14:39:21.663411,0.25633332,2.1714077,0.2,2.2878823280334473,4.413135261274874
6,2020-06-08 14:39:26.199960,0.26533332,2.1193666,0.2,2.218553066253662,4.426991233602166
7,2020-06-08 14:39:30.757301,0.33333334,2.1561437,0.12,2.2661519050598145,4.405728216283023
8,2020-06-08 14:39:35.272383,0.338,2.0785246,0.34,2.1113059520721436,4.352454036474228
9,2020-06-08 14:39:39.747797,0.47566667,1.8357399,0.38,1.894782543182373,5.011691449210048
10,2020-06-08 14:39:44.880578,0.44866666,1.8260729,0.42,1.6326203346252441,4.333689226768911
11,2020-06-08 14:39:49.333514,0.542,1.5505464,0.68,1.3162482976913452,4.369329871609807
12,2020-06-08 14:39:53.825240,0.579,1.4034536,0.58,1.3532427549362183,4.349428374320269
13,2020-06-08 14:39:58.293154,0.71066666,0.96596956,0.82,0.7541487216949463,4.403615930117667
14,2020-06-08 14:40:02.821776,0.728,0.98018914,0.96,0.7311610579490662,4.634022006765008
