ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-15 11:46:27.270164,0.22733334,2.2124472,0.18333334,2.289452314376831,3.6808786210021935
2,2020-06-15 11:46:31.133866,0.27666667,2.2142444,0.083333336,2.2735445499420166,3.630688833014574
3,2020-06-15 11:46:34.879970,0.22666667,2.2185924,0.083333336,2.285794973373413,3.6569703619461507
4,2020-06-15 11:46:38.655899,0.25733334,2.1832411,0.13333334,2.2731120586395264,3.7044287100434303
5,2020-06-15 11:46:42.453497,0.28533334,2.1819246,0.2,2.1835033893585205,3.6738997159991413
6,2020-06-15 11:46:46.240346,0.33366665,2.1223075,0.31666666,2.1936471462249756,3.5558886770159006
7,2020-06-15 11:46:49.891109,0.36133334,2.0091493,0.3,2.050572395324707,3.6418206989765167
8,2020-06-15 11:46:53.629932,0.463,1.9211715,0.55,1.6771924495697021,3.6187456900370307
9,2020-06-15 11:46:57.360729,0.47,1.7658495,0.46666667,1.8829121589660645,3.5816372310509905
10,2020-06-15 11:47:01.039043,0.53966665,1.6005454,0.8833333,0.9829849600791931,3.6882326470222324
11,2020-06-15 11:47:04.822645,0.585,1.5092212,0.81666666,0.9405695796012878,3.6358376310090534
12,2020-06-15 11:47:08.555642,0.747,0.8809375,0.71666664,0.8561750650405884,3.4937449850258417
13,2020-06-15 11:47:12.143439,0.67266667,1.1859255,0.9166667,0.5087785124778748,3.566879824968055
14,2020-06-15 11:47:15.819936,0.757,0.86065644,0.76666665,0.6492825150489807,3.6414044169941917
15,2020-06-15 11:47:19.562904,0.77966666,0.72882384,0.9,0.3524967133998871,3.6532394500100054
16,2020-06-15 11:47:23.309987,0.77433336,0.7663666,0.9166667,0.26960521936416626,3.541868782020174
17,2020-06-15 11:47:26.949147,0.9173333,0.28923032,0.96666664,0.1680862456560135,3.6697668230044656
18,2020-06-15 11:47:30.715620,0.887,0.38235375,0.93333334,0.2710005044937134,3.5923375299898908
19,2020-06-15 11:47:34.404813,0.896,0.38482425,0.95,0.17391012609004974,3.614620873995591
20,2020-06-15 11:47:38.115055,0.87266666,0.42359823,0.9166667,0.27552521228790283,3.634194419020787
21,2020-06-15 11:47:41.845316,0.842,0.5178455,0.8833333,0.42854589223861694,3.6534897279925644
22,2020-06-15 11:47:45.596160,0.858,0.4889169,0.8666667,0.35506385564804077,3.6489555860171095
23,2020-06-15 11:47:49.341871,0.9203333,0.26091936,0.9,0.28585559129714966,3.6048484399798326
24,2020-06-15 11:47:53.058428,0.91333336,0.27696803,0.98333335,0.10487474501132965,3.6520231350441463
