ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-07-08 01:24:49.464444,0.11033333,2.3025823,0.11666666716337204,2.2931318283081055,3.0031931907869875
2,2020-07-08 01:24:52.681912,0.10233333,2.2955906,0.25,2.2875828742980957,2.263147589052096
3,2020-07-08 01:24:55.034116,0.14533333,2.2834692,0.23333333432674408,2.268592119216919,2.2209585409145802
4,2020-07-08 01:24:57.325380,0.17533334,2.2543445,0.4166666567325592,2.2258870601654053,2.1664970689453185
5,2020-07-08 01:24:59.577934,0.253,2.20602,0.38333332538604736,2.060896396636963,2.3190319249406457
6,2020-07-08 01:25:01.970769,0.28333333,2.2851646,0.30000001192092896,2.219744920730591,2.106743366923183
7,2020-07-08 01:25:04.165620,0.292,2.173308,0.4333333373069763,2.010636329650879,2.1595582019072026
8,2020-07-08 01:25:06.395699,0.40066665,2.10333,0.30000001192092896,2.013336420059204,2.1525901209097356
9,2020-07-08 01:25:08.633950,0.41033334,1.888993,0.7833333611488342,1.4895237684249878,2.254096756922081
10,2020-07-08 01:25:10.965780,0.49533334,2.016105,0.5,2.0878021717071533,2.092260411940515
11,2020-07-08 01:25:13.128042,0.5056667,1.7285997,0.8666666746139526,0.9576577544212341,2.2224706960842013
12,2020-07-08 01:25:15.432373,0.62133336,1.4802228,0.5833333134651184,1.4266782999038696,2.086537884781137
